policy,K,beta,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
ask_or_act,3,0.5,0,0,True,9,1,1.5,9.5
ask_or_act,3,0.5,0,1,False,11,1,5.5,11.5
ask_or_act,3,0.5,0,2,False,8,1,5.5,8.5
ask_or_act,3,0.5,0,3,False,13,1,5.5,13.5
ask_or_act,3,0.5,0,4,True,10,1,1.5,10.5
ask_or_act,3,0.5,0,5,True,5,1,1.5,5.5
ask_or_act,3,0.5,0,6,True,15,1,3.5,15.5
ask_or_act,3,0.5,0,7,True,6,2,3.0,7.0
ask_or_act,3,0.5,0,8,True,10,1,3.5,10.5
ask_or_act,3,0.5,0,9,True,7,1,2.5,7.5
ask_or_act,3,0.5,0,10,True,9,1,2.5,9.5
ask_or_act,3,0.5,0,11,True,11,1,2.5,11.5
ask_or_act,3,0.5,0,12,True,13,1,2.5,13.5
ask_or_act,3,0.5,0,13,True,7,1,1.5,7.5
ask_or_act,3,0.5,0,14,False,9,1,5.5,9.5
ask_or_act,3,0.5,0,15,True,8,1,1.5,8.5
ask_or_act,3,0.5,0,16,True,10,1,2.5,10.5
ask_or_act,3,0.5,0,17,True,9,1,2.5,9.5
ask_or_act,3,0.5,0,18,True,6,1,1.5,6.5
ask_or_act,3,0.5,0,19,False,14,1,5.5,14.5
ask_or_act,3,0.5,1,0,True,2,0,0.0,2.0
ask_or_act,3,0.5,1,1,True,11,1,2.5,11.5
ask_or_act,3,0.5,1,2,True,4,1,1.5,4.5
ask_or_act,3,0.5,1,3,False,7,1,5.5,7.5
ask_or_act,3,0.5,1,4,True,14,1,2.5,14.5
ask_or_act,3,0.5,1,5,True,2,0,0.0,2.0
ask_or_act,3,0.5,1,6,True,11,1,2.5,11.5
ask_or_act,3,0.5,1,7,False,10,2,6.0,11.0
ask_or_act,3,0.5,1,8,False,8,1,5.5,8.5
ask_or_act,3,0.5,1,9,True,15,0,4.0,15.0
ask_or_act,3,0.5,1,10,True,7,1,1.5,7.5
ask_or_act,3,0.5,1,11,True,10,2,5.0,11.0
ask_or_act,3,0.5,1,12,True,12,1,2.5,12.5
ask_or_act,3,0.5,1,13,False,11,1,5.5,11.5
ask_or_act,3,0.5,1,14,True,5,1,2.5,5.5
ask_or_act,3,0.5,1,15,False,12,0,5.0,12.0
ask_or_act,3,0.5,1,16,True,4,1,1.5,4.5
ask_or_act,3,0.5,1,17,False,12,1,5.5,12.5
ask_or_act,3,0.5,1,18,True,9,1,1.5,9.5
ask_or_act,3,0.5,1,19,True,12,0,2.0,12.0
ask_or_act,3,0.5,2,0,True,12,1,2.5,12.5
ask_or_act,3,0.5,2,1,True,3,0,0.0,3.0
ask_or_act,3,0.5,2,2,True,9,1,2.5,9.5
ask_or_act,3,0.5,2,3,False,11,1,5.5,11.5
ask_or_act,3,0.5,2,4,True,3,1,1.5,3.5
ask_or_act,3,0.5,2,5,True,7,1,1.5,7.5
ask_or_act,3,0.5,2,6,True,3,1,1.5,3.5
ask_or_act,3,0.5,2,7,True,13,2,4.0,14.0
ask_or_act,3,0.5,2,8,True,3,1,1.5,3.5
ask_or_act,3,0.5,2,9,True,7,1,2.5,7.5
ask_or_act,3,0.5,2,10,False,15,1,5.5,15.5
ask_or_act,3,0.5,2,11,True,14,1,4.5,14.5
ask_or_act,3,0.5,2,12,True,4,1,1.5,4.5
ask_or_act,3,0.5,2,13,True,4,1,1.5,4.5
ask_or_act,3,0.5,2,14,True,2,0,0.0,2.0
ask_or_act,3,0.5,2,15,False,10,0,5.0,10.0
ask_or_act,3,0.5,2,16,False,8,1,5.5,8.5
ask_or_act,3,0.5,2,17,True,13,1,2.5,13.5
ask_or_act,3,0.5,2,18,True,10,1,2.5,10.5
ask_or_act,3,0.5,2,19,True,13,1,2.5,13.5
ask_or_act,3,0.5,3,0,True,10,1,1.5,10.5
ask_or_act,3,0.5,3,1,True,8,1,1.5,8.5
ask_or_act,3,0.5,3,2,True,13,1,5.5,13.5
ask_or_act,3,0.5,3,3,True,10,1,1.5,10.5
ask_or_act,3,0.5,3,4,False,14,0,5.0,14.0
ask_or_act,3,0.5,3,5,True,10,1,1.5,10.5
ask_or_act,3,0.5,3,6,True,11,1,2.5,11.5
ask_or_act,3,0.5,3,7,True,3,0,0.0,3.0
ask_or_act,3,0.5,3,8,True,6,0,0.0,6.0
ask_or_act,3,0.5,3,9,False,10,0,5.0,10.0
ask_or_act,3,0.5,3,10,True,12,0,2.0,12.0
