policy,K,N,two_rooms,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
ask_or_act,3,7,True,0,0,True,10,1,2.5,10.5
ask_or_act,3,7,True,0,1,True,8,0,2.0,8.0
ask_or_act,3,7,True,0,2,True,4,1,1.5,4.5
ask_or_act,3,7,True,0,3,True,4,1,1.5,4.5
ask_or_act,3,7,True,0,4,True,6,1,1.5,6.5
ask_or_act,3,7,True,0,5,True,8,1,2.5,8.5
ask_or_act,3,7,True,0,6,True,9,0,2.0,9.0
ask_or_act,3,7,True,0,7,True,10,0,3.0,10.0
ask_or_act,3,7,True,0,8,True,9,0,2.0,9.0
ask_or_act,3,7,True,0,9,True,11,0,2.0,11.0
ask_or_act,3,7,True,0,10,True,7,0,3.0,7.0
ask_or_act,3,7,True,0,11,True,5,1,1.5,5.5
ask_or_act,3,7,True,0,12,True,8,0,2.0,8.0
ask_or_act,3,7,True,0,13,True,3,0,0.0,3.0
ask_or_act,3,7,True,0,14,True,3,0,0.0,3.0
ask_or_act,3,7,True,0,15,True,9,1,5.5,9.5
ask_or_act,3,7,True,0,16,True,10,1,5.5,10.5
ask_or_act,3,7,True,0,17,True,6,0,0.0,6.0
ask_or_act,3,7,True,0,18,True,3,1,1.5,3.5
ask_or_act,3,7,True,0,19,True,3,1,1.5,3.5
ask_or_act,3,7,True,1,0,True,6,2,3.0,7.0
ask_or_act,3,7,True,1,1,True,7,1,2.5,7.5
ask_or_act,3,7,True,1,2,True,10,0,2.0,10.0
ask_or_act,3,7,True,1,3,True,11,0,3.0,11.0
ask_or_act,3,7,True,1,4,True,6,0,0.0,6.0
ask_or_act,3,7,True,1,5,True,3,1,1.5,3.5
ask_or_act,3,7,True,1,6,True,3,0,0.0,3.0
ask_or_act,3,7,True,1,7,True,8,0,1.0,8.0
ask_or_act,3,7,True,1,8,True,8,1,3.5,8.5
ask_or_act,3,7,True,1,9,True,5,1,1.5,5.5
ask_or_act,3,7,True,1,10,True,6,1,3.5,6.5
ask_or_act,3,7,True,1,11,True,6,1,1.5,6.5
ask_or_act,3,7,True,1,12,True,7,1,4.5,7.5
ask_or_act,3,7,True,1,13,True,8,1,3.5,8.5
ask_or_act,3,7,True,1,14,True,5,0,0.0,5.0
ask_or_act,3,7,True,1,15,True,9,0,2.0,9.0
ask_or_act,3,7,True,1,16,True,8,1,2.5,8.5
ask_or_act,3,7,True,1,17,True,4,0,1.0,4.0
ask_or_act,3,7,True,1,18,True,9,1,3.5,9.5
ask_or_act,3,7,True,1,19,True,4,0,0.0,4.0
ask_or_act,3,7,True,2,0,True,4,1,1.5,4.5
ask_or_act,3,7,True,2,1,True,8,1,2.5,8.5
ask_or_act,3,7,True,2,2,True,6,0,1.0,6.0
ask_or_act,3,7,True,2,3,True,4,0,0.0,4.0
ask_or_act,3,7,True,2,4,True,3,0,0.0,3.0
ask_or_act,3,7,True,2,5,True,10,1,1.5,10.5
ask_or_act,3,7,True,2,6,True,2,0,0.0,2.0
ask_or_act,3,7,True,2,7,True,9,2,3.0,10.0
ask_or_act,3,7,True,2,8,True,3,0,0.0,3.0
ask_or_act,3,7,True,2,9,True,7,0,3.0,7.0
ask_or_act,3,7,True,2,10,True,6,1,3.5,6.5
ask_or_act,3,7,True,2,11,True,3,0,0.0,3.0
ask_or_act,3,7,True,2,12,True,8,0,2.0,8.0
ask_or_act,3,7,True,2,13,True,11,1,3.5,11.5
ask_or_act,3,7,True,2,14,True,5,1,1.5,5.5
ask_or_act,3,7,True,2,15,True,2,0,0.0,2.0
ask_or_act,3,7,True,2,16,True,10,1,3.5,10.5
ask_or_act,3,7,True,2,17,True,7,1,2.5,7.5
ask_or_act,3,7,True,2,18,True,7,0,0.0,7.0
ask_or_act,3,7,True,2,19,True,5,0,2.0,5.0
ask_or_act,3,7,True,3,0,True,6,0,1.0,6.0
ask_or_act,3,7,True,3,1,True,4,1,1.5,4.5
