policy,K,rep_seed,episode_id,success,steps,questions_asked,team_cost
ask_or_act,2,0,0,True,9,1,9.5
ask_or_act,2,0,1,True,8,2,9.0
ask_or_act,2,0,2,True,6,1,6.5
ask_or_act,2,0,3,True,10,0,10.0
ask_or_act,2,0,4,True,8,0,8.0
ask_or_act,2,0,5,True,9,1,9.5
ask_or_act,2,0,6,True,4,0,4.0
ask_or_act,2,0,7,True,11,1,11.5
ask_or_act,2,0,8,True,10,0,10.0
ask_or_act,2,0,9,True,8,1,8.5
ask_or_act,2,0,10,True,12,1,12.5
ask_or_act,2,0,11,True,9,1,9.5
ask_or_act,2,0,12,True,9,0,9.0
ask_or_act,2,0,13,True,4,1,4.5
ask_or_act,2,0,14,True,6,1,6.5
ask_or_act,2,0,15,True,6,1,6.5
ask_or_act,2,0,16,True,3,1,3.5
ask_or_act,2,0,17,True,9,1,9.5
ask_or_act,2,0,18,True,11,1,11.5
ask_or_act,2,0,19,True,11,1,11.5
ask_or_act,2,1,0,True,11,0,11.0
ask_or_act,2,1,1,True,8,1,8.5
ask_or_act,2,1,2,True,3,0,3.0
ask_or_act,2,1,3,True,11,0,11.0
ask_or_act,2,1,4,True,3,0,3.0
ask_or_act,2,1,5,True,9,1,9.5
ask_or_act,2,1,6,True,2,0,2.0
ask_or_act,2,1,7,True,8,1,8.5
ask_or_act,2,1,8,True,3,0,3.0
ask_or_act,2,1,9,True,7,0,7.0
ask_or_act,2,1,10,True,6,1,6.5
ask_or_act,2,1,11,True,7,1,7.5
ask_or_act,2,1,12,True,10,1,10.5
ask_or_act,2,1,13,True,4,1,4.5
ask_or_act,2,1,14,False,14,1,14.5
ask_or_act,2,1,15,True,10,1,10.5
ask_or_act,2,1,16,True,10,0,10.0
ask_or_act,2,1,17,True,10,1,10.5
ask_or_act,2,1,18,True,4,1,4.5
ask_or_act,2,1,19,False,11,0,11.0
ask_or_act,2,2,0,True,8,0,8.0
ask_or_act,2,2,1,True,3,1,3.5
ask_or_act,2,2,2,True,9,0,9.0
ask_or_act,2,2,3,True,11,1,11.5
ask_or_act,2,2,4,True,8,1,8.5
ask_or_act,2,2,5,True,12,0,12.0
ask_or_act,2,2,6,False,16,0,16.0
ask_or_act,2,2,7,True,6,1,6.5
ask_or_act,2,2,8,True,8,1,8.5
ask_or_act,2,2,9,True,3,0,3.0
ask_or_act,2,2,10,True,7,0,7.0
ask_or_act,2,2,11,True,4,0,4.0
ask_or_act,2,2,12,True,14,1,14.5
ask_or_act,2,2,13,True,8,1,8.5
ask_or_act,2,2,14,False,7,1,7.5
ask_or_act,2,2,15,True,13,1,13.5
ask_or_act,2,2,16,True,8,0,8.0
ask_or_act,2,2,17,True,3,0,3.0
ask_or_act,2,2,18,True,10,0,10.0
ask_or_act,2,2,19,True,9,0,9.0
ask_or_act,2,3,0,True,6,1,6.5
ask_or_act,2,3,1,True,5,1,5.5
ask_or_act,2,3,2,True,7,1,7.5
ask_or_act,2,3,3,True,2,0,2.0
ask_or_act,2,3,4,True,6,1,6.5
ask_or_act,2,3,5,True,14,1,14.5
ask_or_act,2,3,6,True,8,0,8.0
ask_or_act,2,3,7,False,13,1,13.5
ask_or_act,2,3,8,True,10,0,10.0
ask_or_act,2,3,9,True,9,1,9.5
ask_or_act,2,3,10,True,7,0,7.0
ask_or_act,2,3,11,True,6,1,6.5
ask_or_act,2,3,12,True,11,0,11.0
ask_or_act,2,3,13,True,10,0,10.0
ask_or_act,2,3,14,True,5,1,5.5
ask_or_act,2,3,15,True,7,1,7.5
ask_or_act,2,3,16,True,3,1,3.5
ask_or_act,2,3,17,True,3,1,3.5
ask_or_act,2,3,18,True,10,0,10.0
ask_or_act,2,3,19,True,10,1,10.5
ask_or_act,2,4,0,True,5,1,5.5
ask_or_act,2,4,1,True,12,1,12.5
ask_or_act,2,4,2,True,13,1,13.5
ask_or_act,2,4,3,True,8,0,8.0
ask_or_act,2,4,4,True,3,0,3.0
ask_or_act,2,4,5,True,4,1,4.5
ask_or_act,2,4,6,True,12,0,12.0
ask_or_act,2,4,7,True,12,1,12.5
ask_or_act,2,4,8,True,12,1,12.5
ask_or_act,2,4,9,True,5,0,5.0
ask_or_act,2,4,10,True,7,1,7.5
ask_or_act,2,4,11,True,7,0,7.0
ask_or_act,2,4,12,True,7,1,7.5
ask_or_act,2,4,13,True,11,0,11.0
ask_or_act,2,4,14,True,9,1,9.5
ask_or_act,2,4,15,True,2,0,2.0
ask_or_act,2,4,16,True,11,1,11.5
ask_or_act,2,4,17,True,12,1,12.5
ask_or_act,2,4,18,True,8,0,8.0
ask_or_act,2,4,19,True,10,1,10.5
never_ask,2,0,0,True,10,0,10.0
never_ask,2,0,1,True,9,0,9.0
never_ask,2,0,2,True,5,0,5.0
never_ask,2,0,3,True,10,0,10.0
never_ask,2,0,4,True,8,0,8.0
never_ask,2,0,5,True,8,0,8.0
never_ask,2,0,6,True,4,0,4.0
never_ask,2,0,7,True,10,0,10.0
never_ask,2,0,8,True,10,0,10.0
never_ask,2,0,9,True,9,0,9.0
never_ask,2,0,10,True,13,0,13.0
never_ask,2,0,11,True,8,0,8.0
never_ask,2,0,12,True,9,0,9.0
never_ask,2,0,13,True,3,0,3.0
never_ask,2,0,14,True,8,0,8.0
never_ask,2,0,15,True,9,0,9.0
never_ask,2,0,16,True,2,0,2.0
never_ask,2,0,17,True,10,0,10.0
